POPTOT_FR	FAIBLEREV	MONOPCT	MENAGE1PCT	IMMREC_PCT	TX_CHOM	NOECOLEPCT	SCO_M9PCT	SCO_M13PCT	PARTIELPCT	FAIBREVPCT	INDICE_PAU	Dist_Min	N_1000	Dist_Moy_3
970.00	35.00	11.48	16.67	1.03	1.80	8.00	6.16	24.66	45.13	3.61	0.50	6264.77	0.00	8835.79
9105.00	2965.00	21.74	24.22	5.43	10.36	30.42	9.64	34.44	41.68	32.56	1.49	1458.96	0.18	3352.85
4190.00	435.00	13.93	26.59	3.10	4.55	22.69	3.76	28.84	40.94	10.38	0.70	1094.89	0.37	1862.38
1300.00	335.00	22.95	60.36	0.77	8.89	68.75	7.23	36.60	33.33	25.77	1.16	1155.84	0.35	1826.47
6270.00	1010.00	15.47	21.96	3.43	7.52	29.31	4.59	33.22	45.08	16.11	0.90	1097.95	0.59	1652.04
4340.00	935.00	16.88	23.00	3.11	4.61	25.00	6.61	34.03	47.60	21.54	0.97	705.67	1.08	1343.42
4255.00	1025.00	19.82	33.82	7.40	7.53	24.77	9.62	39.10	39.95	24.09	1.37	889.81	0.77	1360.43
5440.00	545.00	17.41	21.61	1.84	5.93	29.37	5.83	31.05	37.66	10.02	0.80	747.52	1.12	1227.20
5840.00	725.00	17.71	12.66	4.62	3.02	27.52	7.70	32.17	39.34	12.41	0.93	1725.72	0.00	2126.51
2875.00	240.00	12.87	17.56	1.69	4.62	28.89	7.54	34.31	30.75	8.35	0.70	3568.80	0.00	4153.66
3405.00	405.00	14.95	20.65	1.62	4.50	28.77	4.55	22.51	31.60	11.89	0.70	2382.49	0.00	2996.09
3480.00	465.00	11.39	16.05	3.88	5.09	21.84	2.48	29.34	32.92	13.36	0.69	1238.09	0.37	1881.96
3695.00	350.00	16.98	17.58	3.78	6.51	32.29	6.08	30.39	39.95	9.47	0.88	2022.26	0.00	2624.01
2455.00	740.00	22.05	40.56	6.72	7.03	32.50	10.89	34.18	42.96	30.14	1.48	3841.63	0.00	7820.79
2015.00	70.00	9.09	13.14	1.96	4.27	27.27	1.83	19.05	33.87	3.47	0.42	6389.75	0.00	7535.36
3135.00	900.00	28.57	40.07	1.90	9.59	52.22	10.17	47.30	41.76	28.71	1.44	1619.21	0.30	1874.71
2910.00	345.00	13.02	19.43	1.54	5.11	22.62	10.39	39.13	44.00	11.86	0.83	3905.51	0.00	4932.05
5730.00	245.00	7.69	13.53	1.48	4.98	11.45	6.01	28.76	36.99	4.28	0.51	1560.84	0.05	2818.29
5000.00	320.00	12.72	16.03	1.90	3.79	23.29	5.20	30.92	35.99	6.40	0.60	1075.07	0.59	2428.84
5260.00	345.00	7.28	12.67	1.62	6.37	7.09	1.58	14.25	41.50	6.56	0.45	1590.18	0.40	2802.43
2890.00	125.00	9.94	15.53	0.00	3.53	17.19	1.90	20.71	46.60	4.33	0.36	2862.35	0.00	4221.56
5230.00	305.00	11.04	17.29	3.35	3.83	15.67	2.93	17.42	38.76	5.83	0.56	1407.85	0.20	2152.74
5805.00	220.00	11.28	10.68	1.81	4.03	13.64	1.03	13.55	43.64	3.79	0.43	2922.66	0.00	3449.01
3805.00	280.00	7.66	11.70	1.58	6.55	25.00	1.26	12.79	46.01	7.36	0.46	1173.43	0.37	5037.84
7095.00	545.00	11.11	19.96	2.26	5.00	12.18	3.95	20.83	37.68	7.68	0.59	1914.27	0.00	2191.35
4950.00	195.00	5.54	3.94	2.63	4.99	11.11	1.78	16.05	32.23	3.94	0.40	3091.12	0.00	3520.00
3915.00	315.00	8.80	6.47	3.19	6.14	11.63	4.76	24.76	35.78	8.05	0.64	1048.75	0.57	1547.61
4465.00	370.00	6.07	5.20	2.24	4.98	18.44	5.51	19.03	41.39	8.29	0.54	1849.46	0.10	2056.53
6900.00	660.00	10.28	34.65	1.74	5.15	16.55	4.68	22.68	43.36	9.57	0.60	1910.01	0.25	2966.82
6515.00	640.00	12.90	23.23	1.23	5.24	12.67	4.79	23.62	41.59	9.82	0.64	2483.02	0.01	3469.60
6280.00	855.00	18.29	34.15	2.47	8.50	20.35	3.19	25.50	38.60	13.61	0.87	1653.09	0.00	2318.56
5300.00	450.00	13.46	15.53	1.23	5.23	19.57	3.46	27.53	42.31	8.49	0.60	1647.90	0.09	2480.99
4040.00	355.00	14.35	17.09	3.22	4.27	19.80	2.86	28.21	36.52	8.79	0.66	2142.49	0.03	2932.66
7270.00	1495.00	18.99	15.16	5.91	7.67	29.25	6.24	31.22	41.04	20.56	1.16	1051.88	0.46	2828.32
3990.00	865.00	20.28	18.92	8.86	10.85	23.13	11.33	36.11	42.89	21.68	1.52	855.48	0.49	2624.21
4605.00	880.00	15.94	25.72	7.38	9.70	37.78	6.56	29.74	40.33	19.11	1.19	1190.62	0.34	2412.46
4610.00	720.00	23.62	20.25	6.05	5.61	16.23	3.71	27.05	43.67	15.62	1.09	1997.30	0.00	2338.96
5220.00	425.00	8.68	15.79	0.77	4.92	18.07	4.05	22.00	40.07	8.14	0.50	1871.13	0.00	2321.03
3785.00	240.00	3.59	9.13	0.79	5.19	27.66	1.71	17.91	37.62	6.34	0.32	1515.09	0.09	1875.39
4030.00	250.00	7.46	7.98	1.36	4.91	8.51	4.11	19.68	47.48	6.20	0.47	2495.89	0.00	2846.52
4290.00	465.00	7.73	5.79	0.35	4.07	12.68	3.56	24.58	40.61	10.84	0.46	2274.00	0.00	2956.52
3940.00	335.00	10.67	15.97	2.28	7.14	17.80	5.35	26.25	45.11	8.50	0.68	1996.07	0.00	2516.19
3530.00	310.00	9.95	18.62	1.27	4.76	28.32	7.14	29.89	38.72	8.78	0.63	1777.67	0.03	2076.67
